----------------------------------------------------
Running Benchmark with GCC version: gcc (GCC) 12.3.0
----------------------------------------------------
Size      | Flag           | Time (ms)
----------|----------------|----------
1024      | O0             | 1253
2048      | O0             | 10031
4096      | O0             | 81250
1024      | O2-novec             | 214
2048      | O2-novec             | 1894
4096      | O2-novec             | 21787
1024      | O3-vec             | 155
2048      | O3-vec             | 1379
4096      | O3-vec             | 19727
1024      | Ofast-vec             | 149
2048      | Ofast-vec             | 1352
4096      | Ofast-vec             | 15986
